Accession	Description	Gene Symbol	Abundance_811269 	Abundance_811270 	Abundance_811271 	cytoplasm	nucleus
P62244	40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2	RPS15A	6.18386	6.90809	6.28374	0.724231	0.0998831
P50914	60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4	RPL14	6.89716	6.6114	6.10645	-0.285764	-0.790711
E9PKZ0	60S ribosomal protein L8 (Fragment) OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=1		6.87775	6.80105	6.42369	-0.0766981	-0.454052
P49411	Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2	TUFM	6.34786	7.42514	6.3	1.07728	-0.0478561
P16401	Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3	HIST1H1B	6.16407	5.66556	5.73443	-0.498502	-0.429632
Q14764	Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4	MVP	5.91433	6.62994	5.8237	0.715602	-0.0906339
P50990	T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4	CCT8	4.78749	7.10513	6.08296	2.31764	1.29547
P63104	14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1	YWHAZ	5.3834	7.32553	6.60229	1.94213	1.21889
P62913	60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2	RPL11	6.56	6.78453	6.23854	0.224529	-0.321454
P62829	60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1	RPL23	6.29234	7.16945	6.19301	0.877112	-0.0993238
Q9Y3U8	60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3	RPL36	6.24722	7.11471	6.22764	0.867495	-0.0195773
Q13085	Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2	ACACA	4.4533	7.111	5.82704	2.6577	1.37374
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	ANXA2	5.93353	6.84542	6.38672	0.911888	0.453189
Q8IXB1	DnaJ homolog subfamily C member 10 OS=Homo sapiens OX=9606 GN=DNAJC10 PE=1 SV=2	DNAJC10	4.9328	7.37925	6.2268	2.44645	1.29401
P38919	Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4	EIF4A3	5.2831	5.27093	6.97465	-0.0121743	1.69155
Q9UQ35	Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2	SRRM2	4.85695	6.50469	6.51557	1.64774	1.65862
Q15393	Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4	SF3B3	5.76691	6.54444	6.49619	0.777532	0.729283
P53621	Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2	COPA	5.15868	7.13544	5.70064	1.97676	0.541958
P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	EEF2	5.28857	6.98123	6.49425	1.69266	1.20569
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	GAPDH	5.89026	6.90593	6.58007	1.01567	0.689811
Q9UNF0	Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens OX=9606 GN=PACSIN2 PE=1 SV=2	PACSIN2	4.26051	7.85828	5.04262	3.59777	0.782113
Q14247	Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2	CTTN	5.00344	7.31455	3.98559	2.31111	-1.01785
P49207	60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3	RPL34	6.75255	6.69241	6.01992	-0.0601402	-0.732636
P02452	Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5	COL1A1	6.39337	6.79263	6.75644	0.39926	0.363065
J3KTL2	Serine/arginine-rich-splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=1	SRSF1	5.72665	6.36226	6.51172	0.635602	0.785068
P02768	Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	ALB	5.42906	7.22124	7.26698	1.79218	1.83792
K7EJV9	60S ribosomal protein L23a (Fragment) OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1		6.29477	6.98508	6.11598	0.69031	-0.178788
P83731	60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1	RPL24	5.83705	6.77447	6.10783	0.937415	0.270782
F8WCT1	ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=1		4.59653	5.17847	4.81604	0.581937	0.219511
Q66PJ3	ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=2	ARL6IP4	6.52202	6.79353	6.39992	0.271509	-0.122099
A0A590UJN4	DNA-directed RNA polymerase subunit OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=1		4.84763	6.90847	5.5661	2.06084	0.718469
P50991	T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4	CCT4	4.99451	7.02694	6.31412	2.03244	1.31961
P62258	14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1	YWHAE	3.63177	6.63736	5.94207	3.00559	2.31029
P61353	60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2	RPL27	6.25899	7.0104	6.3368	0.751408	0.0778082
H7BZV4	ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=1		3.65648	4.60603	4.09613	0.949543	0.43965
Q96EP0	E3 ubiquitin-protein ligase RNF31 OS=Homo sapiens OX=9606 GN=RNF31 PE=1 SV=1	RNF31	5.1855	7.18021	5.47547	1.9947	0.289971
P26641	Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3	EEF1G	5.08499	6.86298	6.48376	1.77798	1.39877
Q99613	Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1	EIF3C	4.31296	7.23185	5.43178	2.91889	1.11881
B1AK88	F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1	CAPZB	5.39779	7.37435	5.69928	1.97657	0.301497
O00425	Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2	IGF2BP3	5.58677	6.74703	4.33803	1.16026	-1.24874
Q9NR30	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	DDX21	5.79199	5.04986	6.47634	-0.742134	0.684344
Q13310	Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1	PABPC4	5.21919	7.1121	5.98865	1.89291	0.76946
O75400	Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2	PRPF40A	5.48231	6.61536	7.00487	1.13305	1.52256
H7BXH2	Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=1	PPP6R3	3	6.8742	3	3.8742	0
P14678	Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2	SNRPB	6.12179	6.54832	6.30233	0.42653	0.180548
A6NHL2	Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2	TUBAL3	3	4.68018	3	1.68018	0
P62280	40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3	RPS11	6.34487	7.23549	6.11241	0.890615	-0.232465
Q9Y262	Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1	EIF3L	4.60058	7.25268	5.95292	2.6521	1.35234
P52907	F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3	CAPZA1	5.23957	7.35025	5.57418	2.11068	0.334608
P47756	F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4	CAPZB	3	5.93906	3	2.93906	0
Q14974	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	KPNB1	5.26002	6.64796	6.22971	1.38794	0.969693
H0Y4R1	Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=1		5.01362	7.18799	5.40301	2.17437	0.389386
Q15365	Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2	PCBP1	5.89939	6.82974	6.76166	0.930355	0.862277
A0A0C4DG89	Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=1	DDX46	5.72863	6.37739	5.83216	0.648757	0.103532
B0QYK0	RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1	EWSR1	6.61519	6.09395	5.37117	-0.521239	-1.24402
P35637	RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1	FUS	5.1466	6.81182	6.44436	1.66522	1.29776
P50454	Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2	SERPINH1	4.95736	7.01534	5.63803	2.05798	0.680673
P05023	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1	ATP1A1	5.80382	6.07154	5.63919	0.267717	-0.16463
M0R210	40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=1	RPS16	6.29306	7.37744	6.26577	1.08438	-0.0272899
A0A087X253	AP complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1	AP2B1	5.45867	6.88513	5.8733	1.42647	0.414634
C9JZR2	Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=2	CTNND1	5.09386	6.96393	4.92514	1.87008	-0.168721
P42566	Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2	EPS15	4.66643	7.04645	4.84056	2.38002	0.174132
P60842	Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1	EIF4A1	5.19773	6.8609	6.41682	1.66317	1.21909
P15311	Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4	EZR	5.26889	6.81386	4.75879	1.54497	-0.510103
P20930	Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	FLG	4.03539	6.41679	4.37264	2.3814	0.33725
P46087	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2	NOP2	5.83144	5.62456	6.63054	-0.206877	0.799109
P67809	Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	YBX1	5.26128	6.91796	5.37717	1.65668	0.115895
H0YKD8	60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=1	RPL28	6.29931	7.23117	6.26796	0.931862	-0.0313471
P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	ENO1	5.47974	7.0092	6.13153	1.52946	0.651797
Q9Y678	Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1	COPG1	4.73439	6.90857	5.03819	2.17417	0.303791
A0A0A0MTC1	E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens OX=9606 GN=RNF213 PE=1 SV=1	RNF213	5.49192	6.71812	4.90897	1.22621	-0.582944
P55884	Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3	EIF3B	4.94508	7.38342	5.69376	2.43835	0.748677
Q92945	Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4	KHSRP	4.51203	6.67262	6.06947	2.16059	1.55743
Q14789	Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	GOLGB1	4.3208	6.48589	5.32825	2.16509	1.00745
P04792	Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2	HSPB1	6.15198	6.85024	6.06573	0.698259	-0.0862544
P46821	Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2	MAP1B	5.3619	6.47137	4.84222	1.10947	-0.519681
Q9UK39	Nocturnin OS=Homo sapiens OX=9606 GN=NOCT PE=1 SV=2	CCRN4L; NOCT	6.18685	6.36397	6.28423	0.177122	0.097385
P18583	Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4	SON	5.3444	3	6.58504	-2.3444	1.24064
F5H365	Protein transport protein SEC23 OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=1	SEC23A	4.83875	6.92301	5.81023	2.08426	0.97148
Q9Y383	Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2	LUC7L2	6.0095	6.61112	6.0091	0.601625	-0.000394599
Q9Y6N5	Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=SQOR PE=1 SV=1	SQRDL; SQOR	5.48175	6.92373	5.28674	1.44198	-0.195015
O15061	Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=2	SYNM	5.70913	6.84409	6.31653	1.13496	0.607398
P78371	T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4	CCT2	4.62339	6.89875	6.03398	2.27536	1.41059
P53396	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	ACLY	5.24681	6.59469	5.81548	1.34788	0.56867
P53618	Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3	COPB1	4.31103	6.82599	5.47481	2.51495	1.16378
P60228	Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1	EIF3E	4.3327	7.10339	5.02227	2.77069	0.689569
Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	HNRNPU	5.70949	6.4329	6.78831	0.723411	1.07882
P20700	Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2	LMNB1	5.50383	5.83974	6.71677	0.335916	1.21294
Q93100	Phosphorylase b kinase regulatory subunit beta OS=Homo sapiens OX=9606 GN=PHKB PE=1 SV=3	PHKB	4.59532	7.15025	4.97346	2.55493	0.378133
F8VZX2	Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1	PCBP2	5.3301	6.65845	6.23939	1.32835	0.909298
Q93008	Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens OX=9606 GN=USP9X PE=1 SV=3	USP9X	4.27497	6.36628	4.23087	2.09131	-0.044101
P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	IQGAP1	4.66591	6.50628	4.51441	1.84037	-0.151492
P63244	Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3	GNB2L1; RACK1	4.71327	6.84318	6.30187	2.12992	1.5886
O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5	ANKRD28	3	6.98118	3.97256	3.98118	0.972557
P08621	U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2	SNRNP70	6.68436	6.54885	5.9737	-0.13551	-0.710662
J3KRX5	60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=1		6.14299	6.77302	6.36226	0.630025	0.219269
M0R3D6	60S ribosomal protein L18a (Fragment) OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=1		5.97452	6.11366	5.54923	0.139139	-0.425295
Q9Y4B5	Microtubule cross-linking factor 1 OS=Homo sapiens OX=9606 GN=MTCL1 PE=1 SV=5	SOGA2; MTCL1	4.21873	6.45891	4.82449	2.24018	0.60576
Q02978	Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=3	SLC25A11	5.25018	6.5801	5.22433	1.32993	-0.0258428
O75694	Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1	NUP155	4.3875	6.6904	5.62842	2.3029	1.24092
Q9Y2X3	Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1	NOP58	5.00247	5.60292	6.25835	0.600453	1.25588
Q06830	Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1	PRDX1	5.13488	6.75651	6.58411	1.62163	1.44923
O14744	Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4	PRMT5	4.73805	7.41531	5.22455	2.67726	0.486496
O94915	Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2	FRYL	4.18834	6.69462	3	2.50628	-1.18834
A0A2R8Y5S7	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1		3.87181	5.98189	3	2.11008	-0.871808
P38159	RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3	RBMX	6.01243	5.56765	6.9299	-0.444784	0.917466
J3KP15	Serine/arginine-rich-splicing factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=8		6.04064	6.63492	6.21484	0.594278	0.174203
P13010	X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	XRCC5	5.13271	6.61395	6.00457	1.48125	0.87186
P27635	60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4	RPL10	6.18781	6.86697	5.7211	0.679155	-0.466714
O15371	Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	EIF3D	4.17643	7.20626	5.20807	3.02983	1.03164
O00303	Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	EIF3F	4.51791	7.00126	5.38476	2.48335	0.866854
O60506	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2	SYNCRIP	5.41977	6.53813	6.27612	1.11836	0.856349
P52294	Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3	KPNA1	4.86536	7.04503	5.26964	2.17968	0.404288
Q6PKG0	La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2	LARP1	4.74033	7.02454	4.98609	2.2842	0.245754
Q8N2S1	Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2	LTBP4	3.4905	6.58089	4.63839	3.09039	1.14789
O00567	Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4	NOP56	5.71587	6.13165	6.56729	0.415779	0.851418
G5EA31	Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=1	SEC24C	4.55473	6.79058	5.31939	2.23586	0.764662
Q58FF8	Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2	HSP90AB2P	3	5.40301	3	2.40301	0
P27694	Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2	RPA1	3	6.77257	5.79488	3.77257	2.79488
Q9Y5X1	Sorting nexin-9 OS=Homo sapiens OX=9606 GN=SNX9 PE=1 SV=1	SNX9	3	7.26038	4.4013	4.26038	1.4013
Q92804	TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1	TAF15	5.42375	6.54295	6.05242	1.1192	0.628675
P48643	T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1	CCT5	4.80825	6.70475	5.81243	1.89649	1.00417
Q99832	T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2	CCT7	4.76693	6.74064	5.77512	1.97372	1.00819
A0A087X0K9	Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=1		5.70795	6.88579	4.43059	1.17784	-1.27736
P61981	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2	YWHAG	3	5.54904	4.82001	2.54904	1.82001
P61313	60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2	RPL15	6.36261	6.86476	6.06943	0.502155	-0.293172
E9PG40	Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=1	APP	4.19125	6.8842	4.99241	2.69295	0.801159
Q9UJS0	Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2	SLC25A13	4.98247	6.70348	4.97019	1.72101	-0.0122736
P02458	Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3	COL2A1	5.61935	5.9224	6.86802	0.303051	1.24867
E7EX73	Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1	EIF4G1	4.60266	6.68213	4.57043	2.07947	-0.0322273
E9PHS0	Glutathione S-transferase LANCL1 (Fragment) OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1		5.72356	6.6807	5.9753	0.957135	0.251739
Q14847	LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2	LASP1	5.28222	7.14622	4.49922	1.86401	-0.782992
P09874	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	PARP1	6.23426	6.1752	6.31822	-0.0590561	0.0839635
Q15084	Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1	PDIA6	3.87607	7.29302	6.12451	3.41695	2.24843
D6REX3	Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=1	SEC31A	4.15506	6.72186	5.0634	2.56681	0.908342
Q9BYM8	RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=RBCK1 PE=1 SV=2	RBCK1	3.6009	6.97353	4.39436	3.37263	0.793452
M0R299	rRNA 2'-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=1		5.10279	5.89862	6.82075	0.795827	1.71796
P34897	Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3	SHMT2	5.34211	6.73587	6.0677	1.39376	0.725588
A2RTX5	Threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=TARSL2 PE=1 SV=1	TARSL2	3	6.44813	3	3.44813	0
P02786	Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2	TFRC	4.17689	6.56613	5.89749	2.38924	1.7206
P62995	Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1	TRA2B	5.36691	6.72702	6.0272	1.36011	0.660287
F8WE88	Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=2		5.69468	6.52384	4.15782	0.829154	-1.53686
P31946	14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3	YWHAB	3	5.3549	4.7556	2.3549	1.7556
P27348	14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1	YWHAQ	4.14832	5.7459	5.10729	1.59758	0.958968
Q13200	26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3	PSMD2	4.94171	6.61324	5.49159	1.67153	0.549878
A0A2R8Y811	40S ribosomal protein S14 (Fragment) OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=1		6.28875	6.98021	5.67905	0.691461	-0.609697
A0A2R8Y849	40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1		5.55031	6.79846	5.1991	1.24814	-0.351211
P42677	40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3	RPS27	5.89385	7.22375	6.49574	1.3299	0.601891
P61254	60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1	RPL26	6.20638	6.81063	6.0455	0.604247	-0.160885
E9PLL6	60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1		6.13679	6.55559	6.83869	0.4188	0.701906
P25705	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1	ATP5A1	5.34872	6.60901	6.04734	1.26028	0.698619
Q02880	DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3	TOP2B	4.85282	3	5.88781	-1.85282	1.03499
E7EQG2	Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=1		4.43149	6.64312	5.95709	2.21164	1.5256
O43324	Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1	EEF1E1	3.71829	7.42698	3.68697	3.70869	-0.0313241
Q13347	Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1	EIF3I	3.94185	7.11943	5.22382	3.17758	1.28197
O60684	Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1	KPNA6	3.85067	6.7781	4.82066	2.92743	0.969989
Q12906	Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3	ILF3	4.9394	5.39924	6.55614	0.459839	1.61675
Q9UHB6	LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1	LIMA1	5.20476	6.36284	3	1.15808	-2.20476
Q9Y5V3	Melanoma-associated antigen D1 OS=Homo sapiens OX=9606 GN=MAGED1 PE=1 SV=3	MAGED1	4.3951	6.97293	3	2.57783	-1.3951
H0Y5F5	Polyadenylate-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1		4.47715	5.90897	3	1.43182	-1.47715
P55735	Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3	SEC13	4.63575	7.32934	5.03751	2.69359	0.401755
B9ZVT1	RNA-binding protein 12B OS=Homo sapiens OX=9606 GN=RBM12B PE=1 SV=2		4.21485	6.86328	5.57385	2.64843	1.35901
